"","station","year","month","day","hour","date","rain","temp","rhum","msl","wdsp","wddir"
"109","DUBLIN AIRPORT",2017,1,5,12,2017-01-05 12:00:00,0,6.5,73,1031.6,4,190
"110","DUBLIN AIRPORT",2017,1,5,13,2017-01-05 13:00:00,0,6.7,79,1030.9,6,150
"111","DUBLIN AIRPORT",2017,1,5,14,2017-01-05 14:00:00,0,7.1,78,1030.4,7,160
"112","DUBLIN AIRPORT",2017,1,5,15,2017-01-05 15:00:00,0,7.2,80,1030.4,12,140
"113","DUBLIN AIRPORT",2017,1,5,16,2017-01-05 16:00:00,0,7.1,84,1030.4,11,140
"114","DUBLIN AIRPORT",2017,1,5,17,2017-01-05 17:00:00,0,6.9,85,1030.4,8,150
"115","DUBLIN AIRPORT",2017,1,5,18,2017-01-05 18:00:00,0,6.9,84,1030.4,7,140
"116","DUBLIN AIRPORT",2017,1,5,19,2017-01-05 19:00:00,0,6.5,85,1030.4,5,150
"117","DUBLIN AIRPORT",2017,1,5,20,2017-01-05 20:00:00,0,6.3,86,1030.3,3,110
"118","DUBLIN AIRPORT",2017,1,5,21,2017-01-05 21:00:00,0,4.6,87,1030.4,1,110
"119","DUBLIN AIRPORT",2017,1,5,22,2017-01-05 22:00:00,0,4.4,90,1030.2,3,170
"120","DUBLIN AIRPORT",2017,1,5,23,2017-01-05 23:00:00,0,5.2,92,1030.3,1,160
"121","DUBLIN AIRPORT",2017,1,6,0,2017-01-06,0,6.7,91,1030.2,3,250
"122","DUBLIN AIRPORT",2017,1,6,1,2017-01-06 01:00:00,0.1,7.1,93,1029.6,4,160
"123","DUBLIN AIRPORT",2017,1,6,2,2017-01-06 02:00:00,0,7.9,84,1029.5,4,160
"124","DUBLIN AIRPORT",2017,1,6,3,2017-01-06 03:00:00,0,8.7,81,1028.9,10,200
"125","DUBLIN AIRPORT",2017,1,6,4,2017-01-06 04:00:00,0,8.6,85,1028.7,11,210
"126","DUBLIN AIRPORT",2017,1,6,5,2017-01-06 05:00:00,0,9.1,85,1028.5,12,200
"127","DUBLIN AIRPORT",2017,1,6,6,2017-01-06 06:00:00,0.2,9.2,88,1028.1,12,200
"128","DUBLIN AIRPORT",2017,1,6,7,2017-01-06 07:00:00,0.1,9.3,88,1028,11,210
"129","DUBLIN AIRPORT",2017,1,6,8,2017-01-06 08:00:00,0.1,9.7,88,1028,12,200
"130","DUBLIN AIRPORT",2017,1,6,9,2017-01-06 09:00:00,0.1,9.9,90,1028.6,11,220
"131","DUBLIN AIRPORT",2017,1,6,10,2017-01-06 10:00:00,0.6,10.1,93,1028.7,10,220
"132","DUBLIN AIRPORT",2017,1,6,11,2017-01-06 11:00:00,0.1,10.6,91,1028.6,10,220
"133","DUBLIN AIRPORT",2017,1,6,12,2017-01-06 12:00:00,0,11.2,90,1028.4,11,230
"134","DUBLIN AIRPORT",2017,1,6,13,2017-01-06 13:00:00,0,11.1,92,1028,13,240
"135","DUBLIN AIRPORT",2017,1,6,14,2017-01-06 14:00:00,0.3,11.3,93,1027.8,13,240
"136","DUBLIN AIRPORT",2017,1,6,15,2017-01-06 15:00:00,1.9,11.1,95,1028.5,13,240
"137","DUBLIN AIRPORT",2017,1,6,16,2017-01-06 16:00:00,0.3,11.2,95,1028.2,12,240
"138","DUBLIN AIRPORT",2017,1,6,17,2017-01-06 17:00:00,0.1,11.1,95,1028.6,13,250
"139","DUBLIN AIRPORT",2017,1,6,18,2017-01-06 18:00:00,0,11.3,95,1029.2,13,250
"140","DUBLIN AIRPORT",2017,1,6,19,2017-01-06 19:00:00,0,11.4,95,1029.2,11,260
"141","DUBLIN AIRPORT",2017,1,6,20,2017-01-06 20:00:00,0,11,94,1029.7,9,250
"142","DUBLIN AIRPORT",2017,1,6,21,2017-01-06 21:00:00,0,11,92,1030.2,8,260
"143","DUBLIN AIRPORT",2017,1,6,22,2017-01-06 22:00:00,0,10.6,95,1031.2,9,270
"144","DUBLIN AIRPORT",2017,1,6,23,2017-01-06 23:00:00,0,10,96,1031.4,9,270
"145","DUBLIN AIRPORT",2017,1,7,0,2017-01-07,0,9.7,97,1031.5,6,230
"146","DUBLIN AIRPORT",2017,1,7,1,2017-01-07 01:00:00,0,9.6,95,1031.3,8,250
"147","DUBLIN AIRPORT",2017,1,7,2,2017-01-07 02:00:00,0,9.6,93,1031.4,8,250
"148","DUBLIN AIRPORT",2017,1,7,3,2017-01-07 03:00:00,0,9.3,95,1031.6,7,270
"149","DUBLIN AIRPORT",2017,1,7,4,2017-01-07 04:00:00,0,9.2,95,1031.8,6,280
"150","DUBLIN AIRPORT",2017,1,7,5,2017-01-07 05:00:00,0,9.6,92,1031.5,5,260
"151","DUBLIN AIRPORT",2017,1,7,6,2017-01-07 06:00:00,0,9.4,92,1031.6,7,260
"152","DUBLIN AIRPORT",2017,1,7,7,2017-01-07 07:00:00,0,9.3,96,1031.9,7,270
"153","DUBLIN AIRPORT",2017,1,7,8,2017-01-07 08:00:00,0,9.1,95,1032.2,7,270
"154","DUBLIN AIRPORT",2017,1,7,9,2017-01-07 09:00:00,0,9.3,95,1032.6,6,250
"155","DUBLIN AIRPORT",2017,1,7,10,2017-01-07 10:00:00,0,9.4,95,1032.6,6,240
"156","DUBLIN AIRPORT",2017,1,7,11,2017-01-07 11:00:00,0,9.8,93,1032.8,6,250
"157","DUBLIN AIRPORT",2017,1,7,12,2017-01-07 12:00:00,0,10,90,1032.5,5,260
"158","DUBLIN AIRPORT",2017,1,7,13,2017-01-07 13:00:00,0,10.2,88,1032.2,6,270
"159","DUBLIN AIRPORT",2017,1,7,14,2017-01-07 14:00:00,0,10.3,86,1031.9,6,280
"160","DUBLIN AIRPORT",2017,1,7,15,2017-01-07 15:00:00,0,10.1,87,1031.9,6,280
"161","DUBLIN AIRPORT",2017,1,7,16,2017-01-07 16:00:00,0,9.2,91,1032.1,2,280
"162","DUBLIN AIRPORT",2017,1,7,17,2017-01-07 17:00:00,0,9.1,91,1032.2,1,170
"163","DUBLIN AIRPORT",2017,1,7,18,2017-01-07 18:00:00,0,7.8,93,1032.4,1,150
"164","DUBLIN AIRPORT",2017,1,7,19,2017-01-07 19:00:00,0,7.9,96,1032.4,4,150
"165","DUBLIN AIRPORT",2017,1,7,20,2017-01-07 20:00:00,0,8.6,94,1032.3,4,160
"166","DUBLIN AIRPORT",2017,1,7,21,2017-01-07 21:00:00,0,9.4,92,1032.6,4,220
"167","DUBLIN AIRPORT",2017,1,7,22,2017-01-07 22:00:00,0,8.7,96,1032.5,6,240
"168","DUBLIN AIRPORT",2017,1,7,23,2017-01-07 23:00:00,0.1,8.7,96,1032.3,5,240
"169","DUBLIN AIRPORT",2017,1,8,0,2017-01-08,0,8.8,97,1032.2,6,240
"170","DUBLIN AIRPORT",2017,1,8,1,2017-01-08 01:00:00,0,8.1,93,1032.1,7,250
"171","DUBLIN AIRPORT",2017,1,8,2,2017-01-08 02:00:00,0,7.5,97,1032.1,9,260
"172","DUBLIN AIRPORT",2017,1,8,3,2017-01-08 03:00:00,0,7.6,94,1031.9,9,260
"173","DUBLIN AIRPORT",2017,1,8,4,2017-01-08 04:00:00,0,7.8,94,1031.9,8,260
"174","DUBLIN AIRPORT",2017,1,8,5,2017-01-08 05:00:00,0,7.9,96,1031.8,7,260
"175","DUBLIN AIRPORT",2017,1,8,6,2017-01-08 06:00:00,0,7.8,97,1031.7,6,250
"176","DUBLIN AIRPORT",2017,1,8,7,2017-01-08 07:00:00,0,7.9,97,1031.7,7,240
"177","DUBLIN AIRPORT",2017,1,8,8,2017-01-08 08:00:00,0,8.3,96,1031.8,7,240
"178","DUBLIN AIRPORT",2017,1,8,9,2017-01-08 09:00:00,0,8.8,96,1032,6,230
"179","DUBLIN AIRPORT",2017,1,8,10,2017-01-08 10:00:00,0,9.6,96,1032.3,3,200
"180","DUBLIN AIRPORT",2017,1,8,11,2017-01-08 11:00:00,0,9.9,95,1032.3,6,230
"181","DUBLIN AIRPORT",2017,1,8,12,2017-01-08 12:00:00,0,10,95,1031.7,10,240
"182","DUBLIN AIRPORT",2017,1,8,13,2017-01-08 13:00:00,0,10.2,93,1030.9,12,250
"183","DUBLIN AIRPORT",2017,1,8,14,2017-01-08 14:00:00,0,10.5,90,1030.3,10,240
"184","DUBLIN AIRPORT",2017,1,8,15,2017-01-08 15:00:00,0,10.7,90,1030,8,220
"185","DUBLIN AIRPORT",2017,1,8,16,2017-01-08 16:00:00,0,10.7,89,1029.4,8,220
"186","DUBLIN AIRPORT",2017,1,8,17,2017-01-08 17:00:00,0,10.8,89,1029.1,8,220
"187","DUBLIN AIRPORT",2017,1,8,18,2017-01-08 18:00:00,0,10.5,90,1028.6,7,210
"188","DUBLIN AIRPORT",2017,1,8,19,2017-01-08 19:00:00,0,10.3,91,1028.2,7,200
"189","DUBLIN AIRPORT",2017,1,8,20,2017-01-08 20:00:00,0,10.5,88,1027.3,8,200
"190","DUBLIN AIRPORT",2017,1,8,21,2017-01-08 21:00:00,0,10.3,86,1026.2,9,200
"191","DUBLIN AIRPORT",2017,1,8,22,2017-01-08 22:00:00,0,10.1,83,1025.1,11,210
"192","DUBLIN AIRPORT",2017,1,8,23,2017-01-08 23:00:00,0,9.8,84,1024.2,12,220
"193","DUBLIN AIRPORT",2017,1,9,0,2017-01-09,0,9.4,81,1022.6,16,220
"194","DUBLIN AIRPORT",2017,1,9,1,2017-01-09 01:00:00,0,9.4,83,1021.4,16,220
"195","DUBLIN AIRPORT",2017,1,9,2,2017-01-09 02:00:00,0,9.4,81,1019.7,17,210
"196","DUBLIN AIRPORT",2017,1,9,3,2017-01-09 03:00:00,0,9.4,80,1017.8,19,220
"197","DUBLIN AIRPORT",2017,1,9,4,2017-01-09 04:00:00,0.3,8.9,88,1016.4,20,220
"198","DUBLIN AIRPORT",2017,1,9,5,2017-01-09 05:00:00,0.3,9.2,85,1014.9,19,210
"199","DUBLIN AIRPORT",2017,1,9,6,2017-01-09 06:00:00,0.1,9.2,88,1013.8,20,220
"200","DUBLIN AIRPORT",2017,1,9,7,2017-01-09 07:00:00,0.9,6.2,94,1014.8,20,220
"201","DUBLIN AIRPORT",2017,1,9,8,2017-01-09 08:00:00,0.2,5.9,91,1014.6,15,250
"202","DUBLIN AIRPORT",2017,1,9,9,2017-01-09 09:00:00,0,5.7,89,1014.7,12,250
"203","DUBLIN AIRPORT",2017,1,9,10,2017-01-09 10:00:00,0,5.7,88,1014.3,12,240
"204","DUBLIN AIRPORT",2017,1,9,11,2017-01-09 11:00:00,0,6,85,1013.9,16,250
"205","DUBLIN AIRPORT",2017,1,9,12,2017-01-09 12:00:00,0,6.9,78,1013,19,260
"206","DUBLIN AIRPORT",2017,1,9,13,2017-01-09 13:00:00,0,7,75,1012.7,20,260
"207","DUBLIN AIRPORT",2017,1,9,14,2017-01-09 14:00:00,0,7.1,74,1011.9,19,250
"208","DUBLIN AIRPORT",2017,1,9,15,2017-01-09 15:00:00,0,6.7,76,1011.6,18,250
"209","DUBLIN AIRPORT",2017,1,9,16,2017-01-09 16:00:00,0,5.8,82,1011.8,15,250
"210","DUBLIN AIRPORT",2017,1,9,17,2017-01-09 17:00:00,0,5.6,80,1011.5,14,250
"211","DUBLIN AIRPORT",2017,1,9,18,2017-01-09 18:00:00,0,5.5,83,1011.4,13,240
"212","DUBLIN AIRPORT",2017,1,9,19,2017-01-09 19:00:00,0,4.9,81,1010.7,15,250
"213","DUBLIN AIRPORT",2017,1,9,20,2017-01-09 20:00:00,0,4.4,87,1010.8,16,250
"214","DUBLIN AIRPORT",2017,1,9,21,2017-01-09 21:00:00,0,4.8,84,1010.4,18,250
"215","DUBLIN AIRPORT",2017,1,9,22,2017-01-09 22:00:00,0,4.9,82,1009.9,20,250
"216","DUBLIN AIRPORT",2017,1,9,23,2017-01-09 23:00:00,0,4.7,84,1009.2,20,250
"217","DUBLIN AIRPORT",2017,1,10,0,2017-01-10,0,4.7,84,1010.4,19,260
"218","DUBLIN AIRPORT",2017,1,10,1,2017-01-10 01:00:00,0,4.8,84,1010.6,18,260
"219","DUBLIN AIRPORT",2017,1,10,2,2017-01-10 02:00:00,0,5.1,83,1010.7,18,270
"220","DUBLIN AIRPORT",2017,1,10,3,2017-01-10 03:00:00,0,5.7,82,1010.7,17,270
"221","DUBLIN AIRPORT",2017,1,10,4,2017-01-10 04:00:00,0,5.5,80,1010.8,16,260
"222","DUBLIN AIRPORT",2017,1,10,5,2017-01-10 05:00:00,0,4.9,81,1011,15,270
"223","DUBLIN AIRPORT",2017,1,10,6,2017-01-10 06:00:00,0,5.2,81,1011.4,15,270
"224","DUBLIN AIRPORT",2017,1,10,7,2017-01-10 07:00:00,0,6.1,82,1011.4,15,260
"225","DUBLIN AIRPORT",2017,1,10,8,2017-01-10 08:00:00,0,6.7,85,1011.3,15,260
"226","DUBLIN AIRPORT",2017,1,10,9,2017-01-10 09:00:00,0,6.9,93,1011,17,270
"227","DUBLIN AIRPORT",2017,1,10,10,2017-01-10 10:00:00,0,7.6,91,1011.5,16,260
"228","DUBLIN AIRPORT",2017,1,10,11,2017-01-10 11:00:00,0,8.2,92,1011,15,250
"229","DUBLIN AIRPORT",2017,1,10,12,2017-01-10 12:00:00,0,8.6,96,1010.7,14,240
"230","DUBLIN AIRPORT",2017,1,10,13,2017-01-10 13:00:00,0,9.9,91,1009.4,16,250
"231","DUBLIN AIRPORT",2017,1,10,14,2017-01-10 14:00:00,0,10.2,82,1009.6,23,260
"232","DUBLIN AIRPORT",2017,1,10,15,2017-01-10 15:00:00,0,9.8,79,1010.2,18,280
"233","DUBLIN AIRPORT",2017,1,10,16,2017-01-10 16:00:00,0,9.8,79,1010.7,15,280
"234","DUBLIN AIRPORT",2017,1,10,17,2017-01-10 17:00:00,0,8.8,82,1011.7,16,270
"235","DUBLIN AIRPORT",2017,1,10,18,2017-01-10 18:00:00,0,8.4,83,1011.6,15,250
"236","DUBLIN AIRPORT",2017,1,10,19,2017-01-10 19:00:00,0,8.2,85,1010.8,17,250
"237","DUBLIN AIRPORT",2017,1,10,20,2017-01-10 20:00:00,0,8.9,86,1010.9,18,250
"238","DUBLIN AIRPORT",2017,1,10,21,2017-01-10 21:00:00,0,9.2,92,1010,15,240
"239","DUBLIN AIRPORT",2017,1,10,22,2017-01-10 22:00:00,0,10.5,95,1009.7,16,250
"240","DUBLIN AIRPORT",2017,1,10,23,2017-01-10 23:00:00,0,10.7,91,1008.3,20,250
"241","DUBLIN AIRPORT",2017,1,11,0,2017-01-11,0,10.5,90,1008.1,24,250
"242","DUBLIN AIRPORT",2017,1,11,1,2017-01-11 01:00:00,0.1,10.7,89,1007.4,27,260
"243","DUBLIN AIRPORT",2017,1,11,2,2017-01-11 02:00:00,0,11,76,1007.6,28,260
"244","DUBLIN AIRPORT",2017,1,11,3,2017-01-11 03:00:00,0,10,74,1008.8,26,270
"245","DUBLIN AIRPORT",2017,1,11,4,2017-01-11 04:00:00,0,8.7,69,1009.4,25,280
"246","DUBLIN AIRPORT",2017,1,11,5,2017-01-11 05:00:00,0,8.4,75,1009.5,24,280
"247","DUBLIN AIRPORT",2017,1,11,6,2017-01-11 06:00:00,0,7.6,70,1009.6,24,270
"248","DUBLIN AIRPORT",2017,1,11,7,2017-01-11 07:00:00,0,7,71,1010.3,24,280
"249","DUBLIN AIRPORT",2017,1,11,8,2017-01-11 08:00:00,0,6.1,70,1011.5,22,270
"250","DUBLIN AIRPORT",2017,1,11,9,2017-01-11 09:00:00,0,5.8,71,1012.2,22,270
"251","DUBLIN AIRPORT",2017,1,11,10,2017-01-11 10:00:00,0,6.3,65,1013.5,21,270
"252","DUBLIN AIRPORT",2017,1,11,11,2017-01-11 11:00:00,0,6.4,66,1013.4,23,280
"253","DUBLIN AIRPORT",2017,1,11,12,2017-01-11 12:00:00,0,7,63,1013.9,24,280
"254","DUBLIN AIRPORT",2017,1,11,13,2017-01-11 13:00:00,0,6.6,64,1013.9,23,280
